Google,Google Data Analytics,"Data Analysis, Data Science, Statistical Programming, Business Analysis, SQL, Spreadsheet Software, Business, Data Visualization, Data Management, R Programming, Exploratory Data Analysis, Statistical Visualization, Communication, Statistical Analysis, Data Analysis Software, Business Communication, Data Structures, Data Visualization Software, Tableau Software, Big Data, Cloud Computing, Collaboration, Conflict Management, Critical Thinking, Customer Analysis, General Statistics, Leadership and Management, Plot (Graphics), Probability & Statistics, Small Data, Algorithms, Application Development, Budget Management, Computational Logic, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Cryptography, Data Mining, Data Model, Database Administration, Database Design, Databases, Decision Making, Design and Product, Distributed Computing Architecture, Entrepreneurship, Extract, Transform, Load, Feature Engineering, Finance, Full-Stack Web Development, Interactive Data Visualization, Machine Learning, Mathematical Theory & Analysis, Mathematics, Network Security, Other Programming Languages, Problem Solving, Product Design, Programming Principles, Project Management, Research and Design, Security Engineering, Security Strategy, Software Engineering, Software Security, Storytelling, Theoretical Computer Science, Visual Design, Visualization (Computer Graphics), Web Development",,,,,,,,,,,
IBM,IBM Data Science,"Python Programming, Data Science, Data Analysis, Data Structures, Statistical Programming, Machine Learning, Data Mining, Regression, Machine Learning Algorithms, Data Visualization, General Statistics, Basic Descriptive Statistics, SQL, Applied Machine Learning, Statistical Analysis, Computer Programming Tools, Data Analysis Software, Machine Learning Software, Software Visualization, Databases, Programming Principles, Exploratory Data Analysis, Computer Programming, Statistical Visualization, Algebra, Data Management, Database Theory, Data Visualization Software, R Programming, Statistical Machine Learning, Statistical Tests, Deep Learning, Probability & Statistics, Extract, Transform, Load, Plot (Graphics), Devops Tools, SPSS, Estimation, Interactive Data Visualization, Algorithms, Database Application, Geovisualization, Reinforcement Learning, Theoretical Computer Science, Big Data, Business Analysis, Computational Logic, Correlation And Dependence, Database Administration, Econometrics, Entrepreneurship, Marketing, Mathematical Theory & Analysis, Mathematics, Spreadsheet Software, Storytelling, Supply Chain Systems, Supply Chain and Logistics, Writing",,,,,,,,,,,
IBM,IBM Data Analyst,"Data Analysis, Python Programming, Data Visualization, Exploratory Data Analysis, Basic Descriptive Statistics, Data Structures, Statistical Programming, Data Science, Statistical Visualization, Plot (Graphics), Data Management, General Statistics, SQL, Databases, Business Analysis, Microsoft Excel, Spreadsheet Software, Data Mining, Statistical Analysis, Programming Principles, Probability & Statistics, Regression, Machine Learning, Algebra, Computer Programming, Data Analysis Software, Database Theory, Probability Distribution, Applied Machine Learning, Statistical Tests, Big Data, Correlation And Dependence, Data Visualization Software, Estimation, NoSQL, Geovisualization, ArcGIS, Cloud Computing, Data Warehousing, Database Application, Extract, Transform, Load, HTML and CSS, Knitr, Mathematics, Minitab, PostgreSQL, R Programming, SAS (Software), SPSS, Apache, Computational Logic, Computer Programming Tools, Database Administration, Econometrics, Interactive Data Visualization, Leadership and Management, Mathematical Theory & Analysis, Operating Systems, Professional Development, Statistical Machine Learning, System Programming, Theoretical Computer Science",,,,,,,,,,,
DeepLearning.AI，Stanford University,Machine Learning,"Machine Learning, Probability & Statistics, Machine Learning Algorithms, General Statistics, Theoretical Computer Science, Algorithms, Applied Machine Learning, Artificial Neural Networks, Regression, Econometrics, Computer Programming, Deep Learning, Python Programming, Statistical Programming, Mathematics, Tensorflow, Data Management, Data Structures, Statistical Machine Learning, Reinforcement Learning, Probability Distribution, Mathematical Theory & Analysis, Data Analysis, Data Mining, Linear Algebra, Computer Vision, Calculus, Feature Engineering, Bayesian Statistics, Operations Research, Research and Design, Strategy and Operations, Computational Logic, Accounting, Communication",,,,,,,,,,,
IBM,Introduction to Data Science,"Data Science, Data Structures, SQL, Computer Programming Tools, Data Analysis Software, Machine Learning Software, Software Visualization, Statistical Programming, Databases, Python Programming, Database Theory, Data Visualization Software, R Programming, Data Management, Data Mining, Regression, Devops Tools, Machine Learning Algorithms, SPSS, Basic Descriptive Statistics, Data Analysis, Database Application, Big Data, Computer Programming, Database Administration, Deep Learning, General Statistics, Machine Learning, Marketing, Probability & Statistics, Storytelling, Writing",,,,,,,,,,,
IBM,Data Science Fundamentals with Python and SQL,"Data Structures, Python Programming, Data Analysis, SQL, Statistical Programming, Computer Programming Tools, Data Analysis Software, General Statistics, Machine Learning Software, Probability & Statistics, Software Visualization, Databases, Programming Principles, Algebra, Database Theory, Business Analysis, Data Visualization Software, R Programming, Statistical Analysis, Data Management, Data Science, Basic Descriptive Statistics, Probability Distribution, Statistical Tests, Devops Tools, Machine Learning Algorithms, SPSS, Correlation And Dependence, Data Visualization, Exploratory Data Analysis, Plot (Graphics), Regression, Statistical Visualization, Computer Programming, Database Application, Extract, Transform, Load, Computational Logic, Database Administration, Machine Learning, Mathematical Theory & Analysis, Mathematics, Theoretical Computer Science",,,,,,,,,,,
DeepLearning.AI,Deep Learning,"Deep Learning, Machine Learning, Artificial Neural Networks, Python Programming, Statistical Programming, Machine Learning Algorithms, Linear Algebra, Applied Machine Learning, Statistical Machine Learning, Dimensionality Reduction, Feature Engineering, Probability & Statistics, Business Psychology, Entrepreneurship, Machine Learning Software, Computer Vision, Marketing, General Statistics, Natural Language Processing, Computer Programming, Leadership and Management, Project Management, Regression, Sales, Strategy, Strategy and Operations, Tensorflow, Differential Equations, Mathematics, Applied Mathematics, Decision Making, Supply Chain Systems, Supply Chain and Logistics, Advertising, Communication, Estimation, Forecasting, Mathematical Theory & Analysis, Statistical Visualization, Algorithms, Theoretical Computer Science, Bayesian Statistics, Calculus, Probability Distribution, Statistical Tests, Big Data, Computer Architecture, Computer Networking, Data Management, Human Computer Interaction, Network Architecture, User Experience, Algebra, Computational Logic, Computer Graphic Techniques, Computer Graphics, Data Structures, Data Visualization, Hardware Design, Interactive Design, Markov Model, Network Model",,,,,,,,,,,
University of Virginia Darden School Foundation,IBM & Darden Digital Strategy,"Entrepreneurship, Marketing, Strategy and Operations, Business Analysis, Business Transformation, Leadership and Management, Sales, Strategy, Data Science, Cloud Computing, Data Analysis, Data Management, Research and Design, Applied Machine Learning, Business Design, Big Data, Market Analysis, Cloud Engineering, Cloud Infrastructure, Databases, NoSQL, Python Programming, SQL, Statistical Programming, Innovation, Basic Descriptive Statistics, Cloud Applications, Cloud Management, Cloud Platforms, Cloud Storage, Data Mining, Data Structures, Data Visualization, Data Warehousing, DevOps, General Statistics, IBM Cloud, Machine Learning, Mathematics, Network Security, Probability & Statistics, Software As A Service, Software Engineering, Apache, BlockChain, Business Psychology, Change Management, Computer Architecture, Computer Graphics, Computer Networking, Computer Programming, Computer Vision, Data Visualization Software, Deep Learning, Design and Product, Digital Marketing, Extract, Transform, Load, Finance, Human Computer Interaction, Interactive Design, Internet Of Things, Machine Learning Algorithms, Microsoft Excel, Operating Systems, Organizational Development, Product Strategy, Professional Development, Security Engineering, Software Architecture, Software Framework, System Programming, Theoretical Computer Science",,,,,,,,,,,
IBM,IBM Data Analytics with Excel and R,"Data Analysis, R Programming, Data Visualization, Plot (Graphics), Data Management, SQL, Exploratory Data Analysis, Data Mining, Databases, Basic Descriptive Statistics, General Statistics, Data Visualization Software, Statistical Programming, Data Analysis Software, Interactive Data Visualization, Statistical Visualization, Statistical Analysis, Big Data, Business Analysis, Microsoft Excel, Probability & Statistics, Spreadsheet Software, Database Theory, Regression, Statistical Tests, Data Science, Data Structures, Software Visualization, Machine Learning, User Experience, Probability Distribution, NoSQL, Python Programming, Applied Machine Learning, Deep Learning, Estimation, Geovisualization, Linear Algebra, Machine Learning Algorithms, Machine Learning Software, SAS (Software), Spatial Data Analysis, Statistical Machine Learning, Cloud Computing, Data Architecture, Data Model, Data Warehousing, Database Administration, Database Application, Database Design, Mathematics, Visualization (Computer Graphics), Accounting, Advertising, Apache, Communication, Computational Logic, Computer Programming, Extract, Transform, Load, Leadership and Management, Marketing, Operating Systems, Professional Development, Programming Principles, System Programming, Theoretical Computer Science",,,,,,,,,,,
IBM,Applied Data Science,"Python Programming, Data Analysis, Data Science, Statistical Programming, Data Structures, Data Visualization, Basic Descriptive Statistics, Programming Principles, Exploratory Data Analysis, Computer Programming, Statistical Visualization, Algebra, Machine Learning, Applied Machine Learning, Data Mining, General Statistics, Regression, Statistical Analysis, Statistical Tests, Data Management, Extract, Transform, Load, Plot (Graphics), Interactive Data Visualization, Machine Learning Algorithms, SQL, Geovisualization, Algorithms, Business Analysis, Computational Logic, Computer Programming Tools, Correlation And Dependence, Data Analysis Software, Databases, Econometrics, Mathematical Theory & Analysis, Mathematics, Probability & Statistics, Spreadsheet Software, Statistical Machine Learning, Theoretical Computer Science",,,,,,,,,,,
